file_prefix,cutoff_type,cutoff_frequency,PID,propulsive_peakforce_rfd_slope_between_events,propulsive_peakforce_rfd_instantaneous_average_between_events,propulsive_peakforce_rfd_instantaneous_peak_between_events,braking_peakforce_rfd_slope_between_events,braking_peakforce_rfd_instantaneous_average_between_events,braking_peakforce_rfd_instantaneous_peak_between_events,braking_propulsive_rfd_slope_between_events,braking_propulsive_rfd_instantaneous_average_between_events,braking_propulsive_rfd_instantaneous_peak_between_events,braking_net_vertical_impulse,propulsive_net_vertical_impulse,braking_to_propulsive_net_vertical_impulse,total_net_vertical_impulse,peak_force,average_force_of_braking_phase,average_force_of_propulsive_phase,takeoff_velocity,jump_height_takeoff_velocity,jump_height_net_vertical_impulse,movement_time,unweighting_time,braking_time,propulsive_time,lowering_displacement,frame_start_of_unweighting_phase,frame_start_of_breaking_phase,frame_start_of_propulsive_phase,frame_peak_force,trial_type,trial_number
F02_EXTf4,group_cutoff,26.648000000000003,F02,5009.91244203959,5028.458758585218,7206.479575290112,4771.199939490169,4774.312956582376,7240.628224103712,4616.316242183854,4609.415680366485,7240.628224103712,138.0407817760784,95.01826285932569,42.67856393780761,178.0060217081316,1898.793700328991,1009.7415696363723,1491.4787884887533,2.414868947109428,0.2972269129313658,0.29722691293136616,0.9415,0.695,0.1495,0.097,-0.1743142421899241,1846,3236,3535,3729,EXTf,4
F02_EXTf5,group_cutoff,26.648000000000003,F02,2070.784844081043,2073.6960073145638,5874.675963233225,3024.832938660348,3027.584044716055,6252.928533354541,4185.161702337881,4187.71814425841,6252.928533354541,185.07600415323452,131.66795491676595,53.09816025903696,176.5800969681566,1717.8295413452513,1084.6039338353066,1358.2771497255185,2.3900200575384583,0.29114148192844724,0.291141481928447,0.9875,0.6595,0.148,0.18,-0.23626603574131078,1825,3144,3440,3800,EXTf,5
F02_INTf1,group_cutoff,26.648000000000003,F02,6420.073150567116,6441.25183994883,9717.751510790782,4274.503058835313,4277.584024885941,9717.751510790782,3062.31656633147,3055.1728299351576,8448.94225753774,128.61981406292634,93.59869564189643,34.751534636920724,179.51698272209364,1906.6351592268793,920.4314885920483,1509.0637282985253,2.4346328728928546,0.30211198908106596,0.30211198908106696,0.894,0.617,0.177,0.1,-0.198874504633222,1953,3187,3541,3741,INTf,1
F02_INTf2,group_cutoff,26.648000000000003,F02,2493.0820396918584,2497.632930522285,5592.339108405169,3239.5003715193156,3241.302400374958,6325.002643127809,4099.560248676905,4098.1949037000095,6325.002643127809,166.39323949258906,126.15242658340723,39.94493179960797,181.0274789337396,1731.037201757864,1000.8661218037382,1383.0038477391856,2.4548800524034964,0.30715780181899044,0.30715780181898933,1.145,0.834,0.1445,0.1665,-0.2225627190894918,1492,3160,3449,3782,INTf,2
F02_INTf3,group_cutoff,26.648000000000003,F02,3905.5263479729015,3907.9524189614494,7275.966431669891,3996.9671599861554,4001.2183553023824,7275.966431669891,4091.4335871027893,4097.570296889891,6483.215290523716,149.98188940746783,112.49251334791802,37.2108110900689,178.10218914029062,1830.5461252541368,998.9732095397494,1414.1360653841568,2.4121064008953526,0.2965472624485388,0.296547262448539,1.1115,0.835,0.136,0.1405,-0.20025085790339267,1540,3210,3482,3763,INTf,3
F02_INTf4,group_cutoff,26.648000000000003,F02,4250.867873487194,4262.7174598651945,6293.988598514581,4229.680619068391,4230.806925852162,7241.518017338007,4208.731423688001,4199.2549371651185,7241.518017338007,152.44652558979243,116.03313031463571,36.13326865132396,181.6006041946483,1845.2420593341803,994.0057461761581,1461.5495790679895,2.4664347767610693,0.3100560911323357,0.31005609113233495,1.208,0.9425,0.1335,0.132,-0.17811557990421623,1355,3240,3507,3771,INTf,4
F02_INTf5,group_cutoff,26.648000000000003,F02,3317.7444022344416,3322.8130324759745,4663.754672515439,3115.1950772968357,3118.783531764874,5640.411767892656,2916.9035459765373,2919.0429394771304,5640.411767892656,169.04037915544257,128.63930817400828,40.15814850683613,181.9941710119296,1751.6125158036537,966.0674988115196,1397.76584958527,2.4654679446681182,0.30981305739989984,0.30981305739990006,1.0725,0.743,0.1665,0.163,-0.21747403263562473,1639,3125,3458,3784,INTf,5
F03_CTRL1,group_cutoff,26.648000000000003,F03,1442.6174384463675,1459.123221973879,3261.5323256037664,9169.961656805825,9190.346874192564,20180.151976257795,12918.871228089125,12941.138547051138,20180.151976257795,142.4608050915306,65.40530453259184,76.40416319544381,195.32738799613338,2085.579033789659,1471.0899488542132,1700.9311636117072,2.6935311453600725,0.36978134714703076,0.36978134714703115,0.795,0.645,0.101,0.049,-0.20878740389333944,2111,3401,3603,3701,CTRL,1
F03_CTRL2,group_cutoff,26.648000000000003,F03,2577.3707845809463,2588.2194361669644,3434.5151800629683,6699.100715748134,6714.506874469555,17485.164207975846,9378.225171006805,9396.593709366238,17485.164207975846,142.68328071910148,80.81809266063519,61.35104515280897,194.74649111789293,1925.0795046661767,1271.79157382535,1629.455196120791,2.684270179025709,0.3672429354743482,0.3672429354743481,0.8645,0.683,0.11,0.0715,-0.23870799065278395,1988,3354,3574,3717,CTRL,2
F03_CTRL3,group_cutoff,26.648000000000003,F03,919.5993782610205,928.9125416148469,2944.9513242100365,5748.074458302806,5757.816620114283,13763.240830093855,8973.820415137447,8983.849176758866,13763.240830093855,156.27883180976275,88.00125548824617,67.74412663774002,192.64608009201166,1850.8524635326958,1281.6187971980548,1565.9900259299584,2.6613929027249683,0.36100979524336557,0.3610097952433651,0.8275,0.629,0.119,0.0795,-0.2357047832454361,2052,3310,3548,3707,CTRL,3
