file_prefix,cutoff_type,cutoff_frequency,PID,propulsive_peakforce_rfd_slope_between_events,propulsive_peakforce_rfd_instantaneous_average_between_events,propulsive_peakforce_rfd_instantaneous_peak_between_events,braking_peakforce_rfd_slope_between_events,braking_peakforce_rfd_instantaneous_average_between_events,braking_peakforce_rfd_instantaneous_peak_between_events,braking_propulsive_rfd_slope_between_events,braking_propulsive_rfd_instantaneous_average_between_events,braking_propulsive_rfd_instantaneous_peak_between_events,braking_net_vertical_impulse,propulsive_net_vertical_impulse,braking_to_propulsive_net_vertical_impulse,total_net_vertical_impulse,peak_force,maximum_force,average_force_of_braking_phase,average_force_of_propulsive_phase,takeoff_velocity,jump_height_takeoff_velocity,jump_height_net_vertical_impulse,movement_time,unweighting_time,braking_time,propulsive_time,lowering_displacement,frame_start_of_unweighting_phase,frame_start_of_breaking_phase,frame_start_of_propulsive_phase,frame_peak_force
F02_CTRL4,trial_cutoff,26,F02,5960.233331916043,5990.0223941686445,11608.784724845784,4304.364344673868,4305.186444588806,11652.101060338551,3458.9996511870727,3445.0333545401522,11652.101060338551,126.55929629932284,99.35549155391355,26.876628039655106,180.8121768054286,1957.4086515758052,1957.4086515758052,864.3210891519125,1527.293699662308,2.456714679879323,0.30761707534834676,0.30761707534834654,1.019,0.6035,0.19,0.2255,-0.17315556038239113,1962,3169,3549,3743
F02_CTRL4,participant_cutoff,26.6,F02,5959.441903051269,5989.228719589908,11609.440899281995,4304.92938482919,4305.7284417326955,11656.682056254474,3460.2572044737067,3446.2572472476977,11656.682056254474,126.55798676167426,99.35579905915228,26.874966474987737,180.79668077940033,1957.421726191359,1957.421726191359,864.3127883776637,1527.231396768677,2.456502349629456,0.30756390386009363,0.3075639038600938,1.019,0.6035,0.19,0.2255,-0.17316694040735764,1962,3169,3549,3743
F02_CTRL4,group_cutoff,26.648,F02,5959.38060812462,5989.167078624701,11609.41474128724,4304.972351288129,4305.7696770015955,11657.022601132514,3460.3533991137083,3446.351003541377,11657.022601132514,126.55788711275335,99.35581842053054,26.874844095921993,180.79551242603463,1957.422560695968,1957.422560695968,864.3121787904648,1527.2266957598656,2.4564863361762423,0.307559893976584,0.3075598939765838,1.019,0.6035,0.19,0.2255,-0.17316782353622365,1962,3169,3549,3743
F02_CTRL4,literature_cutoff,50,F02,5961.107374813124,5990.634634654934,11502.980259337695,4336.30360677203,4337.152805070666,11522.983708287124,3497.9740030487,3484.0265419341017,11522.983708287124,126.55006708955773,99.35418814197511,26.868591011854356,180.6562551782908,1957.694820339018,1957.694820339018,865.7987887783036,1526.653242201829,2.4545742880449977,0.3070812913114988,0.307081291311499,1.019,0.6055,0.188,0.2255,-0.17328065842220178,1962,3173,3549,3743
F02_CTRL4,no_cutoff,none,F02,6154.959180851063,6167.127898936169,14906.493999999948,4396.114479573713,4389.904179396092,14906.493999999948,3514.347002666667,3498.9226880000006,14228.514999999898,122.8426998651981,95.64667715044814,26.868100631645998,180.64791559639605,1958.704102,1958.704102,866.1823815199999,1526.6275757333335,2.4544570277906446,0.30705195215447934,0.30705195215447867,1.015,0.602,0.1875,0.2255,-0.17331879004780443,1970,3174,3549,3737
F02_CTRL5,participant_cutoff,26.6,F02,3393.56145415764,3397.73990656722,6249.06633357564,3326.884596760364,3328.5989128362157,6299.968564548413,3255.2286233886152,3254.294792949974,6299.968564548413,167.53541666495428,127.9319604960576,39.35287812832662,180.7509544702565,1785.7385706598157,1785.7385706598157,978.6033558753287,1383.4327185562283,2.45505335966275,0.30720117221158805,0.30720117221158827,1.2905,0.862,0.154,0.2745,-0.21358012978167226,1252,2976,3284,3615
F02_CTRL5,trial_cutoff,26,F02,3393.61272448131,3397.7738154072954,6236.46940315282,3326.9658594421376,3328.670824102927,6295.209612704464,3255.3421181175727,3254.407544486868,6295.209612704464,167.5347309089811,127.93140021982985,39.35276005806853,180.76580869314967,1785.7326416228868,1785.7326416228868,978.6031448567708,1383.490143128109,2.455252968448103,0.3072511283931305,0.30725112839313107,1.291,0.8625,0.154,0.2745,-0.21358692573474758,1251,2976,3284,3615
F02_CTRL5,literature_cutoff,50,F02,3404.0447597823704,3408.0458266486175,6485.923498522723,3334.3546677984623,3335.9228510988373,6485.923498522723,3259.6867121014184,3258.648234438358,6301.949321735767,167.01065427307879,127.40434187813317,39.355505886500225,180.62440620776417,1786.1798233955253,1786.1798233955253,978.5970814299748,1382.8205211749269,2.4534150451305394,0.3067913039588627,0.3067913039588626,1.2865,0.858,0.154,0.2745,-0.21328277096945586,1260,2976,3284,3614
F02_CTRL5,group_cutoff,26.648,F02,3393.5608669562357,3397.74055363773,6250.075639430666,3326.8804063030148,3328.5953841621144,6300.291837386903,3255.220560601014,3254.286776706177,6300.291837386903,167.53546898579324,127.93200290894026,39.352887428891584,180.7498342278037,1785.7396471599534,1785.7396471599534,978.6033720122787,1383.4283696718499,2.4550383146396713,0.3071974070514168,0.3071974070514172,1.2905,0.862,0.154,0.2745,-0.213579588637988,1252,2976,3284,3615
F02_CTRL5,no_cutoff,none,F02,3376.5058978978977,3391.1939249249244,10880.127000000095,3335.1816156249993,3334.6070281249995,11047.301999999909,3290.357557003257,3273.227755700326,11047.301999999909,168.614813265408,129.00488779810397,39.35933408913196,180.66758495910392,1788.370117,1788.370117,979.4202648175897,1382.7925252354016,2.45410490405064,0.30696385729283393,0.30696385729283204,1.263,0.835,0.1535,0.2745,-0.21287043671717,1307,2977,3284,3617
F03_CTRL1,participant_cutoff,32.8,F03,1425.945072383603,1442.5748716099165,3306.45401367452,9140.136292650026,9160.66790154675,20175.640902477782,12920.853771889506,12943.297653842525,20175.640902477782,143.17344764916308,66.10112951214101,76.42065087684105,193.18674462271804,2085.9944652841823,2085.9944652841823,1471.1034786419427,1674.2836621587896,2.664583186540513,0.361875818450275,0.3618758184502747,0.943,0.6405,0.101,0.2015,-0.20655977508232218,1465,2746,2948,3047
F03_CTRL1,group_cutoff,26.648,F03,1442.658071288587,1459.1642807505061,3261.551243095426,9169.97535908209,9190.36068391581,20180.152242757147,12918.87186504131,12941.1391369366,20180.152242757147,142.48324668423226,65.41259256974587,76.41924169699072,193.37048582471283,2085.5810843516006,2085.5810843516006,1471.0899307335137,1675.193794022686,2.667108369230743,0.36256203125487635,0.3625620312548774,0.943,0.6405,0.101,0.2015,-0.20658225914984246,1465,2746,2948,3046
