sport,cutoff_type,jump_type,trial_num_in_block,overall_recording_number,cutoff_frequency,PID,propulsive_peakforce_rfd_slope_between_events,propulsive_peakforce_rfd_instantaneous_average_between_events,propulsive_peakforce_rfd_instantaneous_peak_between_events,total_net_vertical_impulse,peak_force,maximum_force,average_force_of_propulsive_phase,takeoff_velocity,jump_height_takeoff_velocity,jump_height_net_vertical_impulse,movement_time,propulsive_time,frame_start_of_propulsive_phase,frame_peak_force,frame_of_potential_unweighting_start
FHOC,literature_cutoff,SQT,3,8,50,P03,2493.9470373727386,2499.414913746722,4766.116878810339,128.90193732784607,1314.341069164509,1314.341069164509,1028.3961463088215,1.937441038960051,0.19131894900339458,0.1913189490033948,0.36,0.36,1639,1894,1485
FHOC,literature_cutoff,SQT,4,11,50,P03,2381.305371990584,2386.0955129788586,6578.4659024191205,125.80998525448304,1291.7144638622585,1291.7144638622585,1018.5111782764429,1.8884652287075068,0.1817686503586797,0.18176865035867948,0.357,0.357,1642,1904,-1
FHOC,literature_cutoff,SQT,5,13,50,P03,2566.3792105190882,2569.472811983215,6955.8744678683,124.02982737155382,1295.7199947380698,1295.7199947380698,1027.762063229717,1.8587500005858903,0.17609335192038977,0.17609335192038977,0.344,0.344,1655,1904,1533
FHOC,literature_cutoff,SQT,6,15,50,P03,2040.5560473837845,2042.285965024226,4392.546920650289,127.6427035927502,1267.860276218082,1267.860276218082,983.5008959232936,1.9208361146626711,0.18805358712499418,0.18805358712499437,0.387,0.387,1612,1906,-1
FHOC,literature_cutoff,SQT,7,17,50,P03,2550.5725833671017,2554.8141308824715,6286.126754883153,124.08722394863551,1293.8813267613336,1293.8813267613336,1025.4118205580191,1.868243322521627,0.17789669276996167,0.17789669276996176,0.337,0.337,1662,1908,-1
FHOC,literature_cutoff,SQT,8,18,50,P03,2458.4019454864206,2465.085954408105,4518.496503194794,136.82083903072785,1326.6900431224587,1326.6900431224587,1033.5352642839648,2.070025368392204,0.2183998484091376,0.21839984840913781,0.331,0.331,1668,1906,-1
FHOC,literature_cutoff,SQT,9,21,50,P03,2345.917277446217,2351.3340310306353,6415.012691427721,122.9305000394073,1269.6982237836996,1269.6982237836996,1018.19828210871,1.8456149725954596,0.17361338568137305,0.1736133856813732,0.354,0.354,1645,1909,1487
FHOC,literature_cutoff,SQT,10,22,50,P03,2596.0483260652563,2605.8120425137777,7975.50638958643,122.87102744295714,1280.7965313619147,1280.7965313619147,1048.7602492457743,1.8454125825253302,0.17357531089412886,0.17357531089412914,0.342,0.342,1657,1896,1499
FHOC,literature_cutoff,SQT,1,2,50,P04,3581.9190762477797,3589.185061709216,8055.667685615132,115.73066171891581,1126.3971454648795,1126.3971454648795,886.8828843017786,2.3500788227951013,0.2814918691819576,0.28149186918195773,0.294,0.294,1705,1881,-1
FHOC,literature_cutoff,SQT,2,6,50,P04,2786.3529993382986,2789.8948158396825,5377.712666877604,117.26372564034071,1104.076339377286,1104.076339377286,862.3258860194384,2.378371574970254,0.2883104662908505,0.2883104662908503,0.319,0.319,1680,1894,1479
FHOC,literature_cutoff,SQT,3,7,50,P04,3345.4635085490445,3351.360449239483,7096.825191699958,116.72283337420492,1100.9340767333329,1100.9340767333329,876.8998755916786,2.3709077028411274,0.2865037377875327,0.28650373778753246,0.309,0.309,1690,1870,1543
FHOC,literature_cutoff,SQT,4,9,50,P04,2085.6138196083957,2087.51799001173,5527.284952202637,115.24861313906135,1039.3608218041518,1039.3608218041518,830.117963373527,2.3367799157716047,0.2783150038100687,0.27831500381006863,0.344,0.344,1655,1911,1424
FHOC,literature_cutoff,SQT,5,11,50,P04,2946.1109579902877,2952.6537787757575,7387.77468398941,112.80452867537592,1064.0919777784663,1064.0919777784663,867.376960499163,2.2834942469134285,0.26576686930105636,0.2657668693010564,0.315,0.315,1684,1876,1511
FHOC,literature_cutoff,SQT,6,13,50,P04,4246.023523095303,4251.853135508312,8399.895411335921,112.82950362390051,1117.5375914390734,1117.5375914390734,884.4961442745495,2.285209173294603,0.2661662062033539,0.2661662062033545,0.298,0.298,1701,1851,1539
FHOC,literature_cutoff,SQT,7,14,50,P04,2406.8042510599466,2411.934240814335,7321.693366125866,117.06624884746275,1050.7524287965618,1050.7524287965618,870.16382885672,2.3768772878664253,0.2879482997744777,0.28794829977447794,0.311,0.311,1688,1922,1542
FHOC,literature_cutoff,SQT,8,16,50,P04,2820.5176122291105,2824.2743542454596,7028.546070307086,113.06744547589723,1085.7728304571679,1085.7728304571679,862.7706157081657,2.291712401978963,0.2676832687759525,0.2676832687759523,0.311,0.311,1688,1903,1542
FHOC,literature_cutoff,SQT,9,19,50,P04,4798.723781589676,4807.39494349573,9240.05765302683,117.42095092172006,1108.2482586192768,1108.2482586192768,883.0539242386365,2.3840386445652615,0.28968604784814317,0.28968604784814345,0.311,0.311,1688,1818,1384
FHOC,literature_cutoff,SQT,10,22,50,P04,5114.453186366867,5124.779485866858,10046.934549933358,117.30135153462722,1134.618727481649,1134.618727481649,898.0400889159699,2.379234298732204,0.2885196660684874,0.28851966606848717,0.316,0.316,1683,1808,1403
FHOC,literature_cutoff,SQT,1,6,50,P05,2372.9152857319928,2373.613602843515,5417.098894546158,127.08012841407519,1369.4024851872803,1369.4024851872803,904.328510834501,2.0732785882212292,0.21908685547281412,0.2190868554728143,0.422,0.422,1577,1893,-1
FHOC,literature_cutoff,SQT,2,8,50,P05,2398.871478669102,2400.2855633808044,3667.553195572691,122.93927017546434,1315.4000194326386,1315.4000194326386,927.2572295583868,2.0035042433614723,0.20458864695042941,0.20458864695042953,0.387,0.387,1612,1895,-1
FHOC,literature_cutoff,SQT,3,10,50,P05,2634.6500669191655,2636.0893388641002,5662.161875941558,125.10543531538221,1372.2309802702578,1372.2309802702578,924.6009171763977,2.042902980301898,0.2127141991297848,0.21271419912978506,0.391,0.391,1608,1892,-1
FHOC,literature_cutoff,SQT,4,11,50,P05,2535.8781854619574,2537.0818704409394,4594.6143653161125,123.92952786585826,1348.436884977203,1348.436884977203,927.2167318894927,2.0193855742004083,0.20784495908709033,0.20784495908709016,0.386,0.386,1613,1898,-1
FHOC,literature_cutoff,SQT,5,14,50,P05,2121.4745784286174,2122.3195524079533,4715.488678039517,124.92262895581518,1352.1994012125479,1352.1994012125479,892.2313347501138,2.0353420986628397,0.21114258198721977,0.2111425819872194,0.44,0.44,1559,1901,-1
FHOC,literature_cutoff,SQT,6,15,50,P05,2295.5986434448387,2297.9268979885983,3806.4918266357854,127.62018162533154,1291.864848602982,1291.864848602982,938.1589352753977,2.0847106171768544,0.22150960027369523,0.22150960027369532,0.39,0.39,1609,1897,1440
FHOC,literature_cutoff,SQT,7,16,50,P05,2532.2163681172633,2533.7016524636056,4084.4200644114753,126.41123845080946,1314.9832773061064,1314.9832773061064,938.4319091825755,2.062836479522991,0.2168855423675233,0.2168855423675232,0.383,0.383,1616,1886,-1
FHOC,literature_cutoff,SQT,8,19,50,P05,2263.138082999613,2266.160987099326,3985.0461364738876,126.59273879590324,1285.7544838857978,1285.7544838857978,945.0737642147993,2.0682756274756797,0.2180307885428092,0.21803078854280938,0.389,0.389,1610,1906,1329
FHOC,literature_cutoff,SQT,9,20,50,P05,2554.4665708255648,2556.961564973013,4305.851936925552,128.3460468311751,1331.3357714212834,1331.3357714212834,946.3733557164294,2.0948302241282057,0.22366532456274354,0.22366532456274366,0.378,0.378,1621,1895,-1
FHOC,literature_cutoff,SQT,10,22,50,P05,2624.650507320406,2626.515819774434,4383.589365993044,127.38808435561123,1353.1771959652397,1353.1771959652397,940.7108574692567,2.0796116079126916,0.2204273414763104,0.22042734147631055,0.382,0.382,1617,1895,1463
FHOC,literature_cutoff,SQT,1,2,50,P06,2063.935296027901,2068.620596100734,5732.115286924003,158.66385873663796,1281.072835278577,1281.072835278577,1070.440689237027,2.420895804193708,0.2987123595699643,0.2987123595699635,0.395,0.395,1604,1905,1378
FHOC,literature_cutoff,SQT,2,3,50,P06,2138.5186831560686,2139.42046379343,3598.1761078599375,146.79047732996366,1342.9614667741405,1342.9614667741405,996.3668629878774,2.23602766637969,0.25483280962361887,0.254832809623619,0.419,0.419,1580,1896,-1
FHOC,literature_cutoff,SQT,3,7,50,P06,2476.887813152592,2480.775921556156,4408.254604329355,146.59546113697974,1329.6226777262452,1329.6226777262452,1033.1624844505307,2.2363265652172624,0.25490094323631185,0.25490094323631185,0.388,0.388,1611,1880,1437
FHOC,literature_cutoff,SQT,4,8,50,P06,4003.686345567156,4015.584571064798,7070.078666474496,147.54825878259527,1252.882554789199,1252.882554789199,1057.6705899560975,2.2487818555660186,0.2577482076413326,0.25774820764133305,0.393,0.393,1606,1757,1317
FHOC,literature_cutoff,SQT,5,9,50,P06,2074.7325584598843,2079.363092548959,5053.494355230243,146.3018949746295,1260.9197959571748,1260.9197959571748,1037.4416109062006,2.230023374544759,0.25346606783975506,0.2534660678397552,0.393,0.393,1606,1898,1401
FHOC,literature_cutoff,SQT,6,10,50,P06,2144.1578657349482,2145.113679800532,3761.4817118628416,139.44828298672041,1328.0671278730704,1328.0671278730704,980.744968404023,2.1255884513894086,0.230281664866464,0.2302816648664643,0.414,0.414,1585,1889,-1
FHOC,literature_cutoff,SQT,7,16,50,P06,2230.8642401163206,2232.190557581338,4037.338686733041,135.29144356479105,1353.369112352133,1353.369112352133,970.0158084334126,2.0616743513500553,0.21664124011287822,0.21664124011287786,0.419,0.419,1580,1887,-1
FHOC,literature_cutoff,SQT,7,17,50,P06,2047.5837735797359,2048.630399174537,3816.753520895494,139.4160602915442,1325.6000605472166,1325.6000605472166,968.708715572696,2.1250519083604096,0.23016542371183582,0.2301654237118359,0.429,0.429,1570,1891,-1
FHOC,literature_cutoff,SQT,8,21,50,P06,2289.904399726429,2291.9671413924066,4636.50919045601,142.61724881845487,1350.8733795686137,1350.8733795686137,989.3343249254633,2.1805774939811053,0.24235057121594888,0.24235057121594838,0.404,0.404,1595,1888,-1
FHOC,literature_cutoff,SQT,9,22,50,P06,2048.6337320348957,2050.6065492641137,3760.722331854573,147.44075370960405,1300.2984750264668,1300.2984750264668,1002.5693330037444,2.258402046344914,0.2599581958682413,0.2599581958682415,0.413,0.413,1586,1898,1341
FHOC,literature_cutoff,SQT,10,23,50,P06,2163.325114017969,2164.124372403344,3871.5979045131244,143.84254819786804,1351.04120010016,1351.04120010016,976.9535406282238,2.197717201175502,0.2461753769797493,0.2461753769797493,0.428,0.428,1571,1889,-1
FHOC,literature_cutoff,SQT,1,2,50,P07,5838.268405799819,5850.178746548352,9802.05605762155,116.4421195321599,1419.7196865092978,1419.7196865092978,996.7191194589972,2.1907658652973447,0.2446205441667698,0.2446205441667696,0.261,0.261,1738,1891,1605
FHOC,literature_cutoff,SQT,2,6,50,P07,4924.191010393478,4932.162505474575,8985.876615058456,121.05547126343586,1359.7004184964712,1359.7004184964712,969.9656438458705,2.2863742125603266,0.26643766767894256,0.2664376676789428,0.277,0.277,1722,1891,-1
FHOC,literature_cutoff,SQT,3,7,50,P07,4873.9101373379735,4881.677028989355,9309.16294775746,116.95867135613729,1350.652626341389,1350.652626341389,953.4946252867445,2.2077959951258848,0.2484384890975482,0.2484384890975478,0.282,0.282,1717,1883,1433
FHOC,literature_cutoff,SQT,4,9,50,P07,5187.242088087291,5195.276035222905,9218.76462170697,117.43729491180169,1331.2529633663646,1331.2529633663646,965.288808319414,2.2114484409915875,0.2492611726383345,0.249261172638335,0.277,0.277,1722,1877,-1
